id,etch_run_id,pressure,pressure_unit,temp_chuck,temp_chuck_unit,bias_power,bias_power_unit,source_power,source_power_unit,gas_flow_total,gas_flow_total_unit,helium_backside_pressure,helium_backside_pressure_unit
1,RUN_L20260127_L1P1_0001_L01,30.4,mTorr,59.9,C,795,W,1189,W,299,sccm,9.6,Torr
2,RUN_L20260127_L1P1_0002_L01,29.9,mTorr,60.2,C,807,W,1199,W,297,sccm,9.9,Torr
3,RUN_L20260127_L1P1_0003_L01,30.5,mTorr,59.7,C,811,W,1265,W,292,sccm,9.7,Torr
4,RUN_L20260127_L1P1_0004_L02,31.2,mTorr,60.1,C,787,W,1223,W,291,sccm,10.2,Torr
5,RUN_L20260127_L1P1_0005_L02,29.8,mTorr,60.4,C,785,W,1172,W,302,sccm,10.1,Torr
6,RUN_L20260127_L1P1_0006_L02,29.8,mTorr,59.6,C,788,W,1201,W,299,sccm,10.1,Torr
7,RUN_L20260127_L1P1_0007_L01,31.3,mTorr,60.4,C,772,W,1210,W,298,sccm,10.3,Torr
8,RUN_L20260127_L1P1_0008_L01,30.6,mTorr,60,C,768,W,1168,W,292,sccm,9.8,Torr
9,RUN_L20260127_L1P1_0009_L01,29.6,mTorr,60.5,C,806,W,1223,W,295,sccm,10.1,Torr
10,RUN_L20260127_L1P1_0010_L02,30.4,mTorr,59.9,C,819,W,1175,W,300,sccm,10.3,Torr
11,RUN_L20260127_L1P1_0011_L02,29.6,mTorr,60.2,C,817,W,1155,W,301,sccm,9.7,Torr
12,RUN_L20260127_L1P1_0012_L02,29.6,mTorr,60,C,752,W,1202,W,299,sccm,9.4,Torr
13,RUN_L20260127_L1P1_0013_L01,30.2,mTorr,60,C,795,W,1198,W,307,sccm,9.8,Torr
14,RUN_L20260127_L1P1_0014_L01,28.5,mTorr,60.1,C,778,W,1200,W,297,sccm,10.3,Torr
15,RUN_L20260127_L1P1_0015_L01,28.6,mTorr,60.3,C,803,W,1177,W,306,sccm,9.7,Torr
16,RUN_L20260127_L1P1_0016_L02,29.6,mTorr,59.4,C,792,W,1181,W,301,sccm,9.9,Torr
17,RUN_L20260127_L1P1_0017_L02,29.2,mTorr,60.7,C,812,W,1234,W,301,sccm,9.8,Torr
18,RUN_L20260127_L1P1_0018_L02,30.3,mTorr,59.1,C,800,W,1213,W,305,sccm,9.9,Torr
19,RUN_L20260127_L1P1_0019_L01,29.3,mTorr,59.7,C,762,W,1171,W,297,sccm,9.7,Torr
20,RUN_L20260127_L1P1_0020_L01,28.9,mTorr,60,C,781,W,1141,W,298,sccm,9.6,Torr
21,RUN_L20260127_L1P1_0021_L01,31.2,mTorr,60.2,C,800,W,1173,W,294,sccm,9.9,Torr
22,RUN_L20260127_L1P1_0022_L02,29.8,mTorr,60.8,C,802,W,1205,W,305,sccm,9.9,Torr
23,RUN_L20260127_L1P1_0023_L02,30.1,mTorr,59.1,C,772,W,1181,W,302,sccm,10.3,Torr
24,RUN_L20260127_L1P1_0024_L02,28.9,mTorr,59.7,C,769,W,1179,W,305,sccm,10,Torr
25,RUN_L20260127_L1P1_0025_L01,29.6,mTorr,58.9,C,801,W,1182,W,301,sccm,9.6,Torr
26,RUN_L20260127_L1P1_0026_L01,30.1,mTorr,60,C,772,W,1198,W,306,sccm,9.8,Torr
27,RUN_L20260127_L1P1_0027_L01,29.1,mTorr,60.1,C,767,W,1224,W,296,sccm,10.2,Torr
28,RUN_L20260127_L1P1_0028_L02,30.3,mTorr,60.8,C,791,W,1200,W,305,sccm,9.9,Torr
29,RUN_L20260127_L1P1_0029_L02,29.5,mTorr,60.1,C,790,W,1202,W,298,sccm,9.7,Torr
30,RUN_L20260127_L1P1_0030_L02,29.8,mTorr,60.5,C,782,W,1193,W,300,sccm,10,Torr
31,RUN_L20260127_L1P1_0031_L01,29.5,mTorr,60.3,C,786,W,1185,W,304,sccm,9.8,Torr
32,RUN_L20260127_L1P1_0032_L01,31.5,mTorr,59.8,C,800,W,1227,W,312,sccm,10.1,Torr
33,RUN_L20260127_L1P1_0033_L01,30,mTorr,59.3,C,786,W,1222,W,304,sccm,10.1,Torr
34,RUN_L20260127_L1P1_0034_L02,29.2,mTorr,60.1,C,801,W,1261,W,305,sccm,9.7,Torr
35,RUN_L20260127_L1P1_0035_L02,30.7,mTorr,59.3,C,792,W,1218,W,297,sccm,10.5,Torr
36,RUN_L20260127_L1P1_0036_L02,29,mTorr,60.6,C,803,W,1185,W,301,sccm,10,Torr
37,RUN_L20260127_L1P1_0037_L01,30.2,mTorr,59.9,C,818,W,1173,W,300,sccm,9.2,Torr
38,RUN_L20260127_L1P1_0038_L01,28.4,mTorr,60.6,C,817,W,1229,W,307,sccm,10.1,Torr
39,RUN_L20260127_L1P1_0039_L01,28.9,mTorr,59.8,C,826,W,1176,W,299,sccm,9.2,Torr
40,RUN_L20260127_L1P1_0040_L02,30.2,mTorr,60.1,C,817,W,1224,W,307,sccm,10.3,Torr
41,RUN_L20260127_L1P1_0041_L02,30.6,mTorr,60.1,C,805,W,1177,W,293,sccm,10,Torr
42,RUN_L20260127_L1P1_0042_L02,30.1,mTorr,60,C,791,W,1210,W,307,sccm,10,Torr
43,RUN_L20260127_L1P1_0043_L01,29.9,mTorr,59.8,C,792,W,1168,W,296,sccm,10,Torr
44,RUN_L20260127_L1P1_0044_L01,29.8,mTorr,60.2,C,782,W,1223,W,304,sccm,10.2,Torr
45,RUN_L20260127_L1P1_0045_L01,28.8,mTorr,59.5,C,800,W,1163,W,296,sccm,9.8,Torr
46,RUN_L20260127_L1P1_0046_L02,29.4,mTorr,59.4,C,814,W,1208,W,303,sccm,10,Torr
47,RUN_L20260127_L1P1_0047_L02,29.6,mTorr,60.6,C,785,W,1194,W,295,sccm,10,Torr
48,RUN_L20260127_L1P1_0048_L02,30.8,mTorr,60.4,C,799,W,1203,W,305,sccm,9.1,Torr
49,RUN_L20260127_L1P1_0049_L01,30.3,mTorr,60,C,786,W,1188,W,304,sccm,10.2,Torr
50,RUN_L20260127_L1P1_0050_L01,28.6,mTorr,60.8,C,804,W,1187,W,297,sccm,10.2,Torr
51,RUN_L20260127_L1P1_0051_L01,30.3,mTorr,59.9,C,789,W,1205,W,303,sccm,10.1,Torr
52,RUN_L20260127_L1P1_0052_L02,29.7,mTorr,60.7,C,785,W,1170,W,305,sccm,10.1,Torr
53,RUN_L20260127_L1P1_0053_L02,29.5,mTorr,60.1,C,786,W,1170,W,295,sccm,10.5,Torr
54,RUN_L20260127_L1P1_0054_L02,30.5,mTorr,59.5,C,810,W,1189,W,295,sccm,10,Torr
55,RUN_L20260127_L1P1_0055_L01,30.8,mTorr,60.9,C,798,W,1188,W,295,sccm,10,Torr
56,RUN_L20260127_L1P1_0056_L01,30.7,mTorr,60.5,C,791,W,1170,W,294,sccm,9.8,Torr
57,RUN_L20260127_L1P1_0057_L01,29.3,mTorr,59.9,C,805,W,1228,W,295,sccm,9.4,Torr
58,RUN_L20260127_L1P1_0058_L02,29.8,mTorr,60.4,C,792,W,1190,W,305,sccm,10.1,Torr
59,RUN_L20260127_L1P1_0059_L02,30.3,mTorr,59.8,C,823,W,1193,W,303,sccm,9.8,Torr
60,RUN_L20260127_L1P1_0060_L02,30.8,mTorr,60.4,C,781,W,1160,W,292,sccm,9.4,Torr
61,RUN_L20260127_L1P1_0061_L01,29.6,mTorr,58.8,C,796,W,1262,W,297,sccm,10,Torr
62,RUN_L20260127_L1P1_0062_L01,29.9,mTorr,59.5,C,772,W,1273,W,294,sccm,9.9,Torr
63,RUN_L20260127_L1P1_0063_L01,29.1,mTorr,60.5,C,793,W,1177,W,304,sccm,9.9,Torr
64,RUN_L20260127_L1P1_0064_L02,29,mTorr,59.9,C,766,W,1237,W,298,sccm,10,Torr
65,RUN_L20260127_L1P1_0065_L02,30.7,mTorr,60.1,C,815,W,1197,W,292,sccm,9.5,Torr
66,RUN_L20260127_L1P1_0066_L02,31.1,mTorr,59.3,C,815,W,1248,W,301,sccm,10.3,Torr
67,RUN_L20260127_L1P1_0067_L01,29.9,mTorr,60.9,C,816,W,1210,W,303,sccm,10.1,Torr
68,RUN_L20260127_L1P1_0068_L01,30.8,mTorr,60.6,C,801,W,1203,W,295,sccm,10.3,Torr
69,RUN_L20260127_L1P1_0069_L01,30.3,mTorr,59.9,C,782,W,1125,W,299,sccm,9.8,Torr
70,RUN_L20260127_L1P1_0070_L02,29.5,mTorr,59.8,C,784,W,1174,W,295,sccm,10.1,Torr
71,RUN_L20260127_L1P1_0071_L02,30.3,mTorr,60.5,C,831,W,1201,W,306,sccm,9.4,Torr
72,RUN_L20260127_L1P1_0072_L02,31.2,mTorr,61,C,829,W,1206,W,298,sccm,9.7,Torr
73,RUN_L20260127_L1P1_0073_L01,30,mTorr,60.5,C,802,W,1164,W,296,sccm,9.6,Torr
74,RUN_L20260127_L1P1_0074_L01,31.3,mTorr,61.1,C,790,W,1178,W,300,sccm,10.1,Torr
